customer_id,company_name,segment,interaction_date,interaction_type,content,customer_tenure_months
CUST-0023,AIForge Technologies,SMB,2026-06-30,Email,Communication with AIForge Technologies regarding usage tips.,5
CUST-0148,APIGateway Group,SMB,2026-06-30,Support Ticket,APIGateway Group reported integration help. Sentiment: Satisfied.,33
CUST-0159,MetricsDash Technologies,Enterprise,2026-06-30,Email,Communication with MetricsDash Technologies regarding feedback request.,10
CUST-0025,MicroServe LLC,SMB,2026-06-29,Product Feedback,Communication with MicroServe LLC regarding billing.,10
CUST-0045,AnalyticsCo Technologies,Commercial,2026-06-29,Email,Communication with AnalyticsCo Technologies regarding usage tips.,6
CUST-0095,IntegrationHQ Technologies,Commercial,2026-06-29,Call,Issue escalation call with IntegrationHQ Technologies. 57 minutes. Needs follow-up outcome.,47
CUST-0152,SecurityFirst Solutions,Commercial,2026-06-29,Support Ticket,SecurityFirst Solutions reported bug report. Sentiment: Neutral.,14
CUST-0156,CloudVision Technologies,Commercial,2026-06-29,Email,Communication with CloudVision Technologies regarding billing.,39
CUST-0189,MetricsDash Systems,SMB,2026-06-28,Email,Communication with MetricsDash Systems regarding product updates.,8
CUST-0200,ScaleSystems Labs,SMB,2026-06-28,Email,Communication with ScaleSystems Labs regarding product updates.,8
CUST-0033,CodeCraft Solutions,SMB,2026-06-27,Support Ticket,CodeCraft Solutions reported feature request. Sentiment: Frustrated.,7
CUST-0058,CodeCraft Systems,Enterprise,2026-06-27,Email,Communication with CodeCraft Systems regarding feedback request.,35
CUST-0023,AIForge Technologies,SMB,2026-06-26,Call,Expansion discussion call with AIForge Technologies. 41 minutes. Positive outcome.,5
CUST-0112,MicroServe Systems,SMB,2026-06-26,Meeting,Feature demo with MicroServe Systems. 4 attendees. Discussed roadmap and usage.,6
CUST-0152,SecurityFirst Solutions,Commercial,2026-06-26,Product Feedback,Communication with SecurityFirst Solutions regarding product updates.,14
CUST-0197,LoadBalance Inc,SMB,2026-06-26,Call,Expansion discussion call with LoadBalance Inc. 41 minutes. Positive outcome.,5
CUST-0197,LoadBalance Inc,SMB,2026-06-26,Product Feedback,Communication with LoadBalance Inc regarding product updates.,5
CUST-0030,DataBridge Labs,SMB,2026-06-25,Email,Communication with DataBridge Labs regarding billing.,4
CUST-0045,AnalyticsCo Technologies,Commercial,2026-06-25,Call,Feature question call with AnalyticsCo Technologies. 16 minutes. Positive outcome.,6
CUST-0055,SecureNet Inc,SMB,2026-06-25,Support Ticket,SecureNet Inc reported integration help. Sentiment: Frustrated.,47
CUST-0099,DevTools Group,Commercial,2026-06-25,Product Feedback,Communication with DevTools Group regarding billing.,5
CUST-0136,DisasterRecovery LLC,Commercial,2026-06-25,Support Ticket,DisasterRecovery LLC reported integration help. Sentiment: Neutral.,22
CUST-0159,MetricsDash Technologies,Enterprise,2026-06-25,Email,Communication with MetricsDash Technologies regarding usage tips.,10
CUST-0189,MetricsDash Systems,SMB,2026-06-25,Support Ticket,MetricsDash Systems reported performance issue. Sentiment: Neutral.,8
CUST-0014,CodeCraft Group,Commercial,2026-06-24,Support Ticket,CodeCraft Group reported performance issue. Sentiment: Neutral.,29
CUST-0019,ComplianceHub Group,Commercial,2026-06-24,Call,Issue escalation call with ComplianceHub Group. 50 minutes. Needs follow-up outcome.,3
CUST-0022,SecurityFirst Systems,Enterprise,2026-06-24,Call,Issue escalation call with SecurityFirst Systems. 59 minutes. Needs follow-up outcome.,13
CUST-0096,BackupCloud Inc,Commercial,2026-06-24,Call,Expansion discussion call with BackupCloud Inc. 47 minutes. Positive outcome.,17
CUST-0129,SecureNet Labs,SMB,2026-06-24,Call,Feature question call with SecureNet Labs. 19 minutes. Positive outcome.,6
CUST-0149,AIForge LLC,SMB,2026-06-24,Product Feedback,Communication with AIForge LLC regarding feedback request.,6
CUST-0197,LoadBalance Inc,SMB,2026-06-24,Email,Communication with LoadBalance Inc regarding usage tips.,5
CUST-0024,CloudScale Technologies,Commercial,2026-06-23,Meeting,Training session with CloudScale Technologies. 2 attendees. Discussed roadmap and usage.,18
CUST-0030,DataBridge Labs,SMB,2026-06-23,Call,Issue escalation call with DataBridge Labs. 15 minutes. Needs follow-up outcome.,4
CUST-0058,CodeCraft Systems,Enterprise,2026-06-23,Email,Communication with CodeCraft Systems regarding billing.,35
CUST-0120,QueueManager Group,SMB,2026-06-23,Meeting,Training session with QueueManager Group. 8 attendees. Discussed roadmap and usage.,21
CUST-0200,ScaleSystems Labs,SMB,2026-06-23,Meeting,Renewal discussion with ScaleSystems Labs. 6 attendees. Discussed roadmap and usage.,8
CUST-0021,ContainerOps Corp,Enterprise,2026-06-22,Support Ticket,ContainerOps Corp reported bug report. Sentiment: Satisfied.,22
CUST-0030,DataBridge Labs,SMB,2026-06-22,Support Ticket,DataBridge Labs reported bug report. Sentiment: Neutral.,4
CUST-0030,DataBridge Labs,SMB,2026-06-21,Call,Issue escalation call with DataBridge Labs. 45 minutes. Needs follow-up outcome.,4
CUST-0035,DataSync Inc,Commercial,2026-06-21,Email,Communication with DataSync Inc regarding usage tips.,27
CUST-0168,SecurityFirst Inc,SMB,2026-06-21,Product Feedback,Communication with SecurityFirst Inc regarding billing.,6
CUST-0196,AuditPro Corp,SMB,2026-06-21,Call,Issue escalation call with AuditPro Corp. 24 minutes. Needs follow-up outcome.,30
CUST-0200,ScaleSystems Labs,SMB,2026-06-21,Support Ticket,ScaleSystems Labs reported bug report. Sentiment: Satisfied.,8
CUST-0030,DataBridge Labs,SMB,2026-06-20,Meeting,Quarterly business review with DataBridge Labs. 6 attendees. Discussed roadmap and usage.,4
CUST-0061,MicroServe Technologies,Enterprise,2026-06-20,Email,Communication with MicroServe Technologies regarding product updates.,31
CUST-0087,MonitorPlus Solutions,SMB,2026-06-20,Support Ticket,MonitorPlus Solutions reported bug report. Sentiment: Frustrated.,30
CUST-0099,DevTools Group,Commercial,2026-06-20,Email,Communication with DevTools Group regarding billing.,5
CUST-0174,DevOpsHub Solutions,Commercial,2026-06-20,Product Feedback,Communication with DevOpsHub Solutions regarding product updates.,22
CUST-0197,LoadBalance Inc,SMB,2026-06-20,Email,Communication with LoadBalance Inc regarding product updates.,5
CUST-0033,CodeCraft Solutions,SMB,2026-06-19,Call,Issue escalation call with CodeCraft Solutions. 42 minutes. Needs follow-up outcome.,7
CUST-0038,InnovateLabs Corp,SMB,2026-06-19,Support Ticket,InnovateLabs Corp reported bug report. Sentiment: Frustrated.,18
