customer_id,company_name,segment,industry,region,arr,seats,contract_start_date,contract_end_date,tenure_months,is_churned,churn_date,churn_category,specific_reason,competitor
CUST-0001,AnalyticsCo LLC,Commercial,Education,EMEA,92400,79,2023-04-17,2025-03-10,39,1,2025-03-10,Competition,Competitor has better features,Vantage Analytics
CUST-0002,DataBridge Solutions,Commercial,Manufacturing,LATAM,94900,74,2022-11-18,2026-11-05,44,0,,,,
CUST-0003,DataSync Solutions,SMB,Public Sector,NA-East,58400,29,2023-11-13,2026-08-24,32,0,,,,
CUST-0004,ScaleSystems LLC,Enterprise,Financial Services,APAC,206100,451,2025-06-05,2027-02-09,13,0,,,,
CUST-0005,IntegrationHQ Solutions,Commercial,Retail,NA-West,79700,27,2024-10-08,2027-04-05,21,0,,,,
CUST-0006,AuditPro LLC,Commercial,Public Sector,NA-West,55700,85,2023-06-16,2026-05-20,37,1,2026-05-20,Competition,Better UX elsewhere,
CUST-0007,DisasterRecovery Solutions,SMB,Technology,NA-East,41000,18,2023-02-16,2027-05-22,41,0,,,,
CUST-0008,DevTools Inc,Commercial,Retail,EMEA,95700,29,2023-04-17,2025-06-08,39,1,2025-06-08,Support Issues,Unresolved bugs,
CUST-0009,CacheMaster Labs,Commercial,Healthcare,NA-West,87000,40,2023-04-17,2026-05-25,39,1,2026-05-25,Support Issues,Unresolved bugs,
CUST-0010,AnalyticsCo Inc,Commercial,Healthcare,NA-West,76400,33,2024-09-08,2026-06-09,22,1,2026-06-09,Pricing Concerns,ROI not clear,NorthStar Cloud
CUST-0011,CloudScale Group,SMB,Financial Services,NA-East,41700,13,2023-02-16,2026-12-05,41,0,,,,
CUST-0012,AuditPro Solutions,SMB,Public Sector,NA-East,15600,27,2024-07-10,2026-03-26,24,1,2026-03-26,Competition,Better UX elsewhere,Beacon Systems
CUST-0013,InnovateLabs LLC,SMB,Financial Services,EMEA,20500,12,2024-05-11,2026-05-25,26,1,2026-05-25,Support Issues,Poor documentation,Kestrel Data
CUST-0014,CodeCraft Group,Commercial,Education,NA-East,67900,62,2024-02-11,2026-10-28,29,0,,,,
CUST-0015,DataBridge Corp,Commercial,Education,NA-East,135900,48,2024-02-11,2026-09-23,29,0,,,,
CUST-0016,APIGateway Inc,SMB,Education,EMEA,23900,7,2023-11-13,2026-11-05,32,0,,,,
CUST-0017,CloudVision LLC,Enterprise,Healthcare,EMEA,171400,185,2024-11-07,2026-08-13,20,0,,,,
CUST-0018,CloudScale Corp,SMB,Education,LATAM,19500,6,2023-02-16,2026-09-27,41,0,,,,
CUST-0019,ComplianceHub Group,Commercial,Healthcare,EMEA,112300,35,2026-04-01,2027-03-07,3,0,,,,
CUST-0020,BackupCloud Group,Commercial,Education,NA-West,111600,58,2024-09-08,2025-11-01,22,1,2025-11-01,Support Issues,Unresolved bugs,
CUST-0021,ContainerOps Corp,Enterprise,Energy,NA-West,304500,456,2024-09-08,2027-03-13,22,0,,,,
CUST-0022,SecurityFirst Systems,Enterprise,Manufacturing,EMEA,189900,151,2025-06-05,2026-09-15,13,0,,,,
CUST-0023,AIForge Technologies,SMB,Technology,NA-West,45900,17,2026-01-31,2027-02-27,5,0,,,,
CUST-0024,CloudScale Technologies,Commercial,Retail,LATAM,96500,91,2025-01-06,2026-11-19,18,0,,,,
CUST-0025,MicroServe LLC,SMB,Energy,LATAM,50800,21,2025-09-03,2027-01-08,10,0,,,,
CUST-0026,LoadBalance Group,SMB,Media,LATAM,34200,12,2023-05-17,2026-12-03,38,0,,,,
CUST-0027,ScaleSystems Inc,SMB,Manufacturing,APAC,44700,27,2025-12-02,2026-04-09,7,1,2026-04-09,Adoption Challenges,Team not using it,
CUST-0028,CacheMaster Inc,SMB,Technology,NA-East,52800,29,2024-07-10,2026-05-30,24,1,2026-05-30,Competition,Competitor cheaper,Apex Platform
CUST-0029,BackupCloud Technologies,SMB,Technology,NA-West,34400,13,2024-06-10,2027-05-05,25,0,,,,
CUST-0030,DataBridge Labs,SMB,Technology,LATAM,11300,17,2026-03-02,2026-10-03,4,0,,,,
CUST-0031,MonitorPlus Technologies,Commercial,Media,APAC,82700,78,2022-10-19,2026-08-24,45,0,,,,
CUST-0032,SecureNet LLC,SMB,Public Sector,NA-East,60000,16,2024-04-11,2026-08-08,27,0,,,,
CUST-0033,CodeCraft Solutions,SMB,Technology,NA-West,21900,20,2025-12-02,2026-08-09,7,0,,,,
CUST-0034,QueueManager Solutions,Commercial,Healthcare,NA-West,146500,33,2023-04-17,2025-12-04,39,1,2025-12-04,Support Issues,Unresolved bugs,Kestrel Data
CUST-0035,DataSync Inc,Commercial,Technology,NA-East,129600,92,2024-04-11,2026-12-31,27,0,,,,
CUST-0036,QueueManager Labs,Commercial,Energy,NA-East,93400,66,2024-06-10,2026-05-10,25,1,2026-05-10,Support Issues,Slow response,Apex Platform
CUST-0037,WorkflowPro Inc,Commercial,Energy,APAC,132600,95,2024-01-12,2027-04-03,30,0,,,,
CUST-0038,InnovateLabs Corp,SMB,Technology,APAC,26800,20,2025-01-06,2027-05-17,18,0,,,,
CUST-0039,BackupCloud Solutions,Enterprise,Public Sector,NA-West,134200,418,2025-05-06,2026-04-07,14,1,2026-04-07,Support Issues,Poor documentation,
CUST-0040,IntegrationHQ LLC,Commercial,Education,NA-West,80600,94,2025-01-06,2026-01-09,18,1,2026-01-09,Pricing Concerns,Too expensive,
CUST-0041,APIGateway Technologies,Commercial,Media,NA-West,62100,44,2024-06-10,2027-01-02,25,0,,,,
CUST-0042,DataSync Technologies,SMB,Public Sector,LATAM,24100,8,2023-06-16,2026-02-12,37,1,2026-02-12,Competition,Competitor cheaper,Kestrel Data
CUST-0043,LoadBalance Technologies,SMB,Media,NA-West,41900,29,2025-05-06,2027-05-09,14,0,,,,
CUST-0044,InnovateLabs Group,Commercial,Energy,NA-East,132200,71,2026-04-01,2026-05-30,3,1,2026-05-30,Product Fit,Missing features,Beacon Systems
CUST-0045,AnalyticsCo Technologies,Commercial,Public Sector,APAC,110600,99,2026-01-01,2026-09-28,6,0,,,,
CUST-0046,DisasterRecovery Group,SMB,Technology,LATAM,13000,28,2023-07-16,2027-01-02,36,0,,,,
CUST-0047,WorkflowPro Labs,SMB,Retail,NA-East,30400,27,2025-03-07,2026-03-25,16,1,2026-03-25,Product Fit,Too complex,Kestrel Data
CUST-0048,MetricsDash Solutions,SMB,Technology,NA-West,31300,22,2024-10-08,2026-04-30,21,1,2026-04-30,Product Fit,Doesn't scale,
CUST-0049,TechFlow Inc,SMB,Energy,EMEA,45000,13,2024-11-07,2026-01-29,20,1,2026-01-29,Support Issues,Poor documentation,Apex Platform
CUST-0050,SecurityFirst Group,SMB,Manufacturing,LATAM,39400,5,2023-02-16,2026-09-14,41,0,,,,
CUST-0051,CloudScale Systems,Enterprise,Energy,EMEA,172600,349,2022-09-19,2027-04-21,46,0,,,,
CUST-0052,DevOpsHub Inc,SMB,Logistics,APAC,44700,14,2023-09-14,2026-10-20,34,0,,,,
CUST-0053,TechFlow LLC,Commercial,Education,LATAM,132500,20,2024-03-12,2025-10-17,28,1,2025-10-17,Support Issues,Poor documentation,Beacon Systems
CUST-0054,DevTools Corp,Commercial,Media,LATAM,63100,56,2026-01-01,2026-11-11,6,0,,,,
CUST-0055,SecureNet Inc,SMB,Public Sector,NA-East,37600,7,2022-08-20,2027-01-05,47,0,,,,
CUST-0056,TechFlow Corp,SMB,Public Sector,EMEA,30800,20,2025-09-03,2026-12-26,10,0,,,,
CUST-0057,DataSync Labs,Enterprise,Retail,NA-East,210500,454,2025-01-06,2026-04-29,18,1,2026-04-29,Adoption Challenges,Lack of champions,Kestrel Data
CUST-0058,CodeCraft Systems,Enterprise,Retail,APAC,315400,226,2023-08-15,2027-04-06,35,0,,,,
CUST-0059,CloudScale Solutions,SMB,Education,NA-East,25900,20,2023-06-16,2026-11-26,37,0,,,,
CUST-0060,ContainerOps LLC,Commercial,Retail,LATAM,146500,62,2024-04-11,2026-08-17,27,0,,,,
CUST-0061,MicroServe Technologies,Enterprise,Retail,NA-East,287800,185,2023-12-13,2027-06-30,31,0,,,,
CUST-0062,AuditPro Systems,SMB,Energy,LATAM,11800,7,2022-08-20,2026-05-31,47,1,2026-05-31,Adoption Challenges,Too hard to onboard,
CUST-0063,WorkflowPro Corp,Commercial,Retail,EMEA,140300,25,2024-10-08,2027-03-14,21,0,,,,
CUST-0064,BackupCloud Corp,SMB,Retail,NA-West,18800,24,2026-01-01,2026-05-25,6,1,2026-05-25,Adoption Challenges,Too hard to onboard,Beacon Systems
CUST-0065,TechFlow Technologies,Commercial,Financial Services,APAC,140100,89,2023-09-14,2026-12-07,34,0,,,,
CUST-0066,ContainerOps Systems,SMB,Media,NA-West,60000,20,2023-12-13,2025-08-20,31,1,2025-08-20,Competition,Better UX elsewhere,
CUST-0067,CacheMaster Solutions,SMB,Financial Services,LATAM,47300,14,2024-06-10,2025-07-30,25,1,2025-07-30,Competition,Competitor cheaper,NorthStar Cloud
CUST-0068,ScaleSystems Solutions,Commercial,Financial Services,EMEA,128900,24,2024-06-10,2027-06-16,25,0,,,,
CUST-0069,WorkflowPro Technologies,Commercial,Public Sector,EMEA,103100,54,2025-08-04,2026-10-05,11,0,,,,
CUST-0070,MicroServe Inc,Enterprise,Energy,NA-East,156300,165,2024-12-07,2026-09-26,19,0,,,,
CUST-0071,MicroServe Solutions,Enterprise,Financial Services,EMEA,314600,282,2022-09-19,2027-02-17,46,0,,,,
CUST-0072,AnalyticsCo Labs,SMB,Energy,NA-East,41000,22,2022-09-19,2026-11-26,46,0,,,,
CUST-0073,DataBridge Systems,SMB,Retail,NA-East,57300,14,2023-01-17,2026-09-27,42,0,,,,
CUST-0074,MonitorPlus LLC,Enterprise,Education,LATAM,396900,129,2025-09-03,2027-05-02,10,0,,,,
CUST-0075,CodeCraft LLC,Enterprise,Manufacturing,APAC,277900,170,2022-11-18,2027-02-04,44,0,,,,
CUST-0076,StreamPro Group,Enterprise,Media,NA-West,487300,484,2025-10-03,2027-02-18,9,0,,,,
CUST-0077,DataSync LLC,Enterprise,Manufacturing,NA-West,414800,155,2025-11-02,2026-06-06,8,1,2026-06-06,Pricing Concerns,Too expensive,
CUST-0078,CodeCraft Labs,Commercial,Retail,NA-West,104000,42,2025-03-07,2026-01-24,16,1,2026-01-24,Product Fit,Missing features,
CUST-0079,CacheMaster Technologies,Enterprise,Media,NA-East,150700,265,2025-08-04,2026-10-27,11,0,,,,
CUST-0080,AIForge Systems,Commercial,Technology,NA-East,122700,86,2025-12-02,2026-05-14,7,1,2026-05-14,Pricing Concerns,Budget cuts,
CUST-0081,StreamPro Solutions,Commercial,Healthcare,NA-East,82200,38,2026-03-02,2027-03-14,4,0,,,,
CUST-0082,TechFlow Systems,SMB,Energy,LATAM,40300,8,2024-11-07,2026-02-23,20,1,2026-02-23,Competition,Better UX elsewhere,Vantage Analytics
CUST-0083,DisasterRecovery Labs,Enterprise,Education,EMEA,431000,254,2022-11-18,2026-11-23,44,0,,,,
CUST-0084,BackupCloud Systems,SMB,Healthcare,NA-East,31600,28,2025-10-03,2026-03-08,9,1,2026-03-08,Product Fit,Poor integration,NorthStar Cloud
CUST-0085,AuditPro Inc,Commercial,Financial Services,EMEA,110000,65,2023-03-18,2027-03-03,40,0,,,,
CUST-0086,StreamPro LLC,SMB,Logistics,NA-East,48100,23,2023-08-15,2027-05-10,35,0,,,,
CUST-0087,MonitorPlus Solutions,SMB,Public Sector,NA-East,40400,26,2024-01-12,2027-06-24,30,0,,,,
CUST-0088,ComplianceHub Corp,Enterprise,Retail,NA-West,326500,255,2024-11-07,2026-08-02,20,0,,,,
CUST-0089,ScaleSystems Technologies,SMB,Logistics,NA-West,28500,28,2022-12-18,2027-03-19,43,0,,,,
CUST-0090,StreamPro Technologies,SMB,Media,APAC,43100,20,2023-04-17,2026-01-09,39,1,2026-01-09,Adoption Challenges,Team not using it,Apex Platform
CUST-0091,DisasterRecovery Technologies,SMB,Media,NA-East,21000,24,2023-08-15,2027-04-25,35,0,,,,
CUST-0092,ContainerOps Labs,SMB,Financial Services,APAC,47400,10,2025-03-07,2026-02-04,16,1,2026-02-04,Support Issues,Poor documentation,
CUST-0093,IntegrationHQ Labs,Commercial,Education,NA-East,96000,29,2025-02-05,2026-08-20,17,0,,,,
CUST-0094,LogStream Labs,Enterprise,Financial Services,EMEA,168700,366,2023-04-17,2027-02-22,39,0,,,,
CUST-0095,IntegrationHQ Technologies,Commercial,Education,LATAM,57900,59,2022-08-20,2027-05-27,47,0,,,,
CUST-0096,BackupCloud Inc,Commercial,Logistics,NA-West,73600,38,2025-02-05,2027-01-24,17,0,,,,
CUST-0097,QueueManager Corp,SMB,Technology,LATAM,32400,23,2025-05-06,2026-03-20,14,1,2026-03-20,Product Fit,Poor integration,Beacon Systems
CUST-0098,StreamPro Systems,SMB,Financial Services,EMEA,35400,14,2022-12-18,2027-05-28,43,0,,,,
CUST-0099,DevTools Group,Commercial,Technology,LATAM,145400,25,2026-01-31,2027-03-23,5,0,,,,
CUST-0100,DisasterRecovery Inc,SMB,Logistics,NA-East,35200,10,2023-04-17,2025-09-13,39,1,2025-09-13,Product Fit,Missing features,
CUST-0101,IntegrationHQ Systems,Commercial,Logistics,LATAM,55200,100,2023-12-13,2025-10-25,31,1,2025-10-25,Support Issues,No training,Vantage Analytics
CUST-0102,DevOpsHub Systems,SMB,Technology,NA-West,55800,14,2023-05-17,2025-07-23,38,1,2025-07-23,Adoption Challenges,Team not using it,Meridian Software
CUST-0103,CacheMaster LLC,Commercial,Retail,LATAM,59300,74,2025-08-04,2026-05-30,11,1,2026-05-30,Competition,Better UX elsewhere,Vantage Analytics
CUST-0104,LogStream Group,SMB,Retail,NA-East,24800,30,2025-05-06,2026-10-08,14,0,,,,
CUST-0105,CodeCraft Inc,SMB,Retail,NA-West,19000,27,2023-06-16,2025-12-10,37,1,2025-12-10,Support Issues,Unresolved bugs,NorthStar Cloud
CUST-0106,CloudScale Inc,Commercial,Energy,NA-West,103400,59,2026-01-31,2026-05-12,5,1,2026-05-12,Competition,Better UX elsewhere,Apex Platform
CUST-0107,AuditPro Labs,Enterprise,Public Sector,LATAM,267500,132,2025-04-06,2027-02-10,15,0,,,,
CUST-0108,DevTools LLC,Enterprise,Healthcare,EMEA,133600,132,2023-02-16,2027-04-20,41,0,,,,
CUST-0109,MonitorPlus Labs,SMB,Financial Services,APAC,12700,21,2023-08-15,2027-01-24,35,0,,,,
CUST-0110,ContainerOps Solutions,SMB,Retail,NA-East,24300,20,2024-04-11,2026-04-14,27,1,2026-04-14,Pricing Concerns,ROI not clear,NorthStar Cloud
CUST-0111,CloudVision Corp,Commercial,Public Sector,LATAM,102800,34,2023-10-14,2026-04-17,33,1,2026-04-17,Support Issues,Unresolved bugs,NorthStar Cloud
CUST-0112,MicroServe Systems,SMB,Technology,LATAM,10800,21,2026-01-01,2027-04-11,6,0,,,,
CUST-0113,IntegrationHQ Group,Commercial,Healthcare,LATAM,147500,28,2022-07-21,2026-11-02,48,0,,,,
CUST-0114,LoadBalance Systems,Enterprise,Education,EMEA,201500,58,2023-06-16,2025-03-09,37,1,2025-03-09,Competition,Competitor cheaper,
CUST-0115,SecurityFirst LLC,SMB,Logistics,LATAM,26900,25,2025-01-06,2026-08-21,18,0,,,,
CUST-0116,LogStream Corp,SMB,Financial Services,EMEA,20100,30,2022-09-19,2027-03-21,46,0,,,,
