question,ground_truth,query_type,expected_context,difficulty
"What is AuditPro Group's annual recurring revenue, and which segment do they belong to?","AuditPro Group (CUST-0164) is a SMB customer with an ARR of $36,600 across 12 seats, in the Public Sector industry.",customer_specific,"CUST-0164,ANALYSIS-0089",easy
"Has BackupCloud Technologies churned, and what is their current contract status?","No. BackupCloud Technologies (CUST-0029) is an active SMB customer with 25 months of tenure and a contract running to 2027-05-05, worth $34,400 in ARR.",customer_specific,CUST-0029,easy
"How many support tickets has DisasterRecovery Solutions raised, and what is their average CSAT?","DisasterRecovery Solutions (CUST-0007) has raised 1 support ticket, with an average CSAT of 5.00 out of 5.",customer_specific,CUST-0007,medium
What is MetricsDash Corp's latest engagement score and feature adoption rate?,"MetricsDash Corp (CUST-0190) has a latest engagement score of 0.146 and a feature adoption rate of 0.166, as of their most recent weekly snapshot (2025-04-22).",customer_specific,"CUST-0190,ANALYSIS-0108",medium
"What is MicroServe Solutions's annual recurring revenue, and which segment do they belong to?","MicroServe Solutions (CUST-0071) is a Enterprise customer with an ARR of $314,600 across 282 seats, in the Financial Services industry.",customer_specific,"CUST-0071,ANALYSIS-0037",easy
"Has WorkflowPro Corp churned, and what is their current contract status?","No. WorkflowPro Corp (CUST-0063) is an active Commercial customer with 21 months of tenure and a contract running to 2027-03-14, worth $140,300 in ARR.",customer_specific,CUST-0063,easy
"How many support tickets has CodeCraft Systems raised, and what is their average CSAT?","CodeCraft Systems (CUST-0058) has raised 6 support tickets, with an average CSAT of 3.33 out of 5.",customer_specific,CUST-0058,medium
What is QueueManager Labs's latest engagement score and feature adoption rate?,"QueueManager Labs (CUST-0036) has a latest engagement score of 0.116 and a feature adoption rate of 0.173, as of their most recent weekly snapshot (2026-05-03).",customer_specific,"CUST-0036,ANALYSIS-0018",medium
"What is MetricsDash Systems's annual recurring revenue, and which segment do they belong to?","MetricsDash Systems (CUST-0189) is a SMB customer with an ARR of $29,400 across 7 seats, in the Media industry.",customer_specific,CUST-0189,easy
"Did ScaleSystems Inc churn, and if so when and for what reason?","Yes. ScaleSystems Inc (CUST-0027) churned on 2026-04-09 after 7 months. The churn category was Adoption Challenges, specifically: Team not using it. They represented $44,700 in ARR.",customer_specific,"CUST-0027,ANALYSIS-0014",easy
"How many support tickets has DevOpsHub Solutions raised, and what is their average CSAT?","DevOpsHub Solutions (CUST-0174) has raised 1 support ticket, with an average CSAT of 4.00 out of 5.",customer_specific,CUST-0174,medium
What is ContainerOps Inc's latest engagement score and feature adoption rate?,"ContainerOps Inc (CUST-0140) has a latest engagement score of 0.293 and a feature adoption rate of 0.257, as of their most recent weekly snapshot (2026-06-23).",customer_specific,"CUST-0140,ANALYSIS-0074",medium
"What is AIForge Technologies's annual recurring revenue, and which segment do they belong to?","AIForge Technologies (CUST-0023) is a SMB customer with an ARR of $45,900 across 17 seats, in the Technology industry.",customer_specific,CUST-0023,easy
"Has SecurityFirst Solutions churned, and what is their current contract status?","No. SecurityFirst Solutions (CUST-0152) is an active Commercial customer with 14 months of tenure and a contract running to 2026-12-29, worth $60,700 in ARR.",customer_specific,CUST-0152,easy
"How many support tickets has MonitorPlus Labs raised, and what is their average CSAT?","MonitorPlus Labs (CUST-0109) has raised 1 support ticket, with an average CSAT of 3.00 out of 5.",customer_specific,CUST-0109,medium
